question_id,question,question_type,generated_answer,ground_truth,mrr,rouge_l,ndcg_at_5,precision_at_5,f1_score,exact_match,source_url,retrieved_urls,response_time
1,what place was the high roller constructed in,factual,las vegas strip,las vegas,1.0,0.8,1.0,0.4,0.8,0.0,https://en.wikipedia.org/wiki/High_Roller_(Stratosphere),"['https://en.wikipedia.org/wiki/High_Roller_(Stratosphere)', 'https://en.wikipedia.org/wiki/High_Roller_(Stratosphere)', 'https://en.wikipedia.org/wiki/Larry_Chickola', 'https://en.wikipedia.org/wiki/Crawford_Hill', 'https://en.wikipedia.org/wiki/Big_Bus_Tours']",5.789093255996704
2,where joe appears rolling across the ground in a parody of the 1984-1993 tristar pictures logo?,factual,"stewie , chris and stewie 's father are shown in a parody of the nbc sitcom friends",in the beginning of the episode,1.0,0.2727272727272727,1.0,0.4,0.3,0.0,https://en.wikipedia.org/wiki/Petergeist,"['https://en.wikipedia.org/wiki/Petergeist', 'https://en.wikipedia.org/wiki/Petergeist', 'https://en.wikipedia.org/wiki/Grauman%27s_Chinese_Theatre', 'https://en.wikipedia.org/wiki/Alex_Kendrick', 'https://en.wikipedia.org/wiki/Grauman%27s_Chinese_Theatre']",9.000507593154907
3,What is adobe bridge software called?,factual,"adobe bridge is a free digital asset management app made by adobe inc. pkware , inc. is an american enterprise data protection software company that provides discovery , classification , masking and encryption software , along with data compression software , along with data encryption software , along with data encryption software , along with data compression software .",digital file manager,1.0,0.07407407407407407,1.0,0.2,0.0606060606060606,0.0,https://en.wikipedia.org/wiki/Adobe_Bridge,"['https://en.wikipedia.org/wiki/Adobe_Bridge', 'https://en.wikipedia.org/wiki/PKWare', 'https://en.wikipedia.org/wiki/MacHTTP', 'https://en.wikipedia.org/wiki/The_Entrance_Bridge', 'https://en.wikipedia.org/wiki/Carbonite,_Inc.']",7.418745756149292
4,what will the host be responsible for?,factual,admission requirements,select a region with a range of suitable open-water diving sites including alternative sites in case of a contingency such as rough weather,1.0,0.0,1.0,0.4,0.0,0.0,https://en.wikipedia.org/wiki/Underwater_photography_(sport),"['https://en.wikipedia.org/wiki/Underwater_photography_(sport)', 'https://en.wikipedia.org/wiki/Underwater_photography_(sport)', 'https://en.wikipedia.org/wiki/Addameer', 'https://en.wikipedia.org/wiki/Funny_or_Die', 'https://en.wikipedia.org/wiki/Early_life_of_Isaac_Newton']",3.797515869140625
5,What was the name of the first episode of the adventures of don quick?,factual,stewie griffin,the adventures of don quick,1.0,0.0,1.0,0.4,0.0,0.0,https://en.wikipedia.org/wiki/The_Adventures_of_Don_Quick,"['https://en.wikipedia.org/wiki/The_Adventures_of_Don_Quick', 'https://en.wikipedia.org/wiki/The_Adventures_of_Don_Quick', 'https://en.wikipedia.org/wiki/Petergeist', 'https://en.wikipedia.org/wiki/A_Chorus_Lie', 'https://en.wikipedia.org/wiki/Petergeist']",4.117967367172241
6,What was the height of the auditorium?,factual,The height of a building is measured in meters.,71 foot 22,0.3333333333333333,0.0,0.5437713091520254,0.4,0.0,0.0,https://en.wikipedia.org/wiki/Grauman%27s_Chinese_Theatre,"['https://en.wikipedia.org/wiki/Uxmal', 'https://en.wikipedia.org/wiki/Inclinometer', 'https://en.wikipedia.org/wiki/Grauman%27s_Chinese_Theatre', 'https://en.wikipedia.org/wiki/Early_life_of_Isaac_Newton', 'https://en.wikipedia.org/wiki/Grauman%27s_Chinese_Theatre']",3.6214869022369385
7,he' the greatest dancer,factual,sister sledge 's sister sledge cover he' the greatest dancer is a disco song by sister sledge a lyric change nadarang nadarang nadarang nadarang nadarang nadarang nadarang nadarang nadarang nadarang nadarang nadarang nadarang nadarang nadarang nadarang nadarang nadarang nadarang nadarang nadarang nadarang nadarang nadarang nadarang nadarang nadarang nadarang nadarang nadarang nadarang nadarang nadarang nadarang nadarang nadarang nadarang nadarang,is a song by sister sledge,1.0,0.1875,1.0,0.6,0.5454545454545454,0.0,https://en.wikipedia.org/wiki/He%27s_the_Greatest_Dancer,"['https://en.wikipedia.org/wiki/He%27s_the_Greatest_Dancer', 'https://en.wikipedia.org/wiki/He%27s_the_Greatest_Dancer', 'https://en.wikipedia.org/wiki/He%27s_the_Greatest_Dancer', 'https://en.wikipedia.org/wiki/Shanti_Dope', 'https://en.wikipedia.org/wiki/List_of_Afghanistan_Twenty20_International_cricket_records']",12.122947216033936
8,What did newton disagree about?,factual,he was a naturalist,the form of the path of a body falling from a height,1.0,0.125,1.0,1.0,0.15384615384615383,0.0,https://en.wikipedia.org/wiki/Early_life_of_Isaac_Newton,"['https://en.wikipedia.org/wiki/Early_life_of_Isaac_Newton', 'https://en.wikipedia.org/wiki/Early_life_of_Isaac_Newton', 'https://en.wikipedia.org/wiki/Early_life_of_Isaac_Newton', 'https://en.wikipedia.org/wiki/Early_life_of_Isaac_Newton', 'https://en.wikipedia.org/wiki/Early_life_of_Isaac_Newton']",4.8936991691589355
9,In what movie did han solo perform a role?,factual,Deliverance,star wars,0.0,0.0,0.0,0.0,0.0,0.0,"https://en.wikipedia.org/wiki/Carbonite,_Inc.","['https://en.wikipedia.org/wiki/Sharky%27s_Machine', 'https://en.wikipedia.org/wiki/Ren_Xi_(Shu_Han)', 'https://en.wikipedia.org/wiki/Mayaa_(2024_film)', 'https://en.wikipedia.org/wiki/Sharky%27s_Machine', 'https://en.wikipedia.org/wiki/Polycoria']",4.461910247802734
10,How much money is spent in a movie ticket?,factual,A lot of money.,unanswerable,0.0,0.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/National_Capital_Trolley_Museum,"['https://en.wikipedia.org/wiki/Grauman%27s_Chinese_Theatre', 'https://en.wikipedia.org/wiki/Grauman%27s_Chinese_Theatre', 'https://en.wikipedia.org/wiki/Sharky%27s_Machine', 'https://en.wikipedia.org/wiki/Grauman%27s_Chinese_Theatre', 'https://en.wikipedia.org/wiki/Sharky%27s_Machine']",4.271146774291992
